,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mackay,75,CA,1577756681,79,53.65,-115.58,272.15,2.6
1,Saint-Philippe,90,CA,1577756681,92,45.36,-73.48,273.15,5.7
2,Rikitea,100,PF,1577756682,82,-23.12,-134.97,298.57,4.88
3,Poum,0,MK,1577756682,51,41.28,20.71,268.91,1.93
4,Ushuaia,40,AR,1577756613,43,-54.81,-68.31,283.15,12.3
5,Port Elizabeth,90,US,1577756682,93,39.31,-74.98,281.48,6.2
6,Port Alfred,77,ZA,1577756682,83,-33.59,26.89,290.37,3.64
7,Port Blair,45,IN,1577756682,76,11.67,92.75,300.68,6.72
8,Rock Springs,1,US,1577756402,84,41.59,-109.2,259.15,1.69
9,Albany,90,US,1577756683,80,42.65,-73.75,275.15,2.1
10,Saskylakh,0,RU,1577756683,93,71.97,114.09,236.47,4.57
11,Ambanja,66,MG,1577756683,88,-13.68,48.45,297.82,1.46
12,Nuuk,100,GL,1577756683,79,64.17,-51.74,268.15,3.1
13,Cape Town,0,ZA,1577756219,68,-33.93,18.42,291.48,8.7
14,Svirstroy,100,RU,1577756684,97,60.8,33.72,274.73,4.09
15,Katsuura,75,JP,1577756684,58,33.93,134.5,287.15,7.7
16,Esna,0,RO,1577756684,79,45.2,27.57,270.1,3.27
17,Iqaluit,5,CA,1577756684,76,63.75,-68.52,252.15,12.9
18,Tilichiki,0,RU,1577756684,61,60.47,166.1,246.93,2.89
19,Gavrilovka Vtoraya,100,RU,1577756684,94,52.88,42.77,271.43,9.41
20,Bilma,0,NE,1577756685,44,18.69,12.92,283.66,4.19
21,Thompson,90,CA,1577756685,92,55.74,-97.86,260.15,3.1
22,Monywa,33,MM,1577756685,52,22.12,95.13,293.46,4.56
23,Hilo,40,US,1577756685,57,19.71,-155.08,300.15,5.1
24,East London,99,ZA,1577756685,81,-33.02,27.91,293.53,5.38
25,Atuona,1,PF,1577756685,73,-9.8,-139.03,300.14,6.28
26,Vila,0,IT,1577756685,100,45.18,8.4,274.82,2.1
27,Lichinga,75,MZ,1577756685,100,-13.3,35.25,292.15,2.1
28,Upata,87,VE,1577756686,85,8.02,-62.41,294.53,2.56
29,Ribeira Grande,100,PT,1577756686,88,38.52,-28.7,287.92,7.85
30,Miri,0,NG,1577756686,25,10.31,9.75,286.6,2.08
31,Airai,83,TL,1577756686,57,-8.93,125.41,301.19,1.73
32,Pacific Grove,1,US,1577756520,71,36.62,-121.92,286.48,1.5
33,Vaini,40,IN,1577756686,87,15.34,74.49,286.15,1.34
34,Provideniya,0,RU,1577756686,63,64.42,-173.23,252.15,12.0
35,Geraldton,90,CA,1577756687,85,49.72,-86.95,263.15,5.1
36,Miles City,1,US,1577756687,68,46.41,-105.84,269.15,5.7
37,Yellowknife,90,CA,1577756687,84,62.45,-114.38,259.26,6.2
38,Callaway,90,US,1577756687,92,46.98,-95.91,265.15,7.7
39,Isoka,100,ZM,1577756687,98,-10.15,32.64,289.88,1.5
40,Puerto Ayora,49,EC,1577756687,86,-0.74,-90.35,295.93,0.89
41,Mahebourg,75,MU,1577756687,88,-20.41,57.7,299.26,7.2
42,Chokurdakh,26,RU,1577756688,78,70.62,147.9,240.23,1.86
43,Bolpur,0,IN,1577756688,36,23.66,87.7,290.53,2.8
44,Anadyr,0,RU,1577756688,74,64.73,177.51,242.15,3.0
45,Mujiayingzi,0,CN,1577756688,12,42.12,118.78,262.6,2.45
46,Leningradskiy,100,RU,1577756688,93,69.38,178.42,246.19,9.37
47,Naryan-Mar,100,RU,1577756689,96,67.67,53.09,267.93,2.75
48,Longyearbyen,3,NO,1577756689,54,78.22,15.63,256.15,1.5
